sıska sıska+ADJ
sıskalaşır sıska+ADJ^DB+VERB+BECOME+POS+AOR^DB+ADJ+ZERO
sıskalaşan sıska+ADJ^DB+VERB+BECOME+POS^DB+ADJ+PRESPART
sıskalanıp sıska+ADJ^DB+VERB+ACQUIRE+POS^DB+ADV+AFTERDOINGSO
sıskalanar sıska+ADJ^DB+VERB+ACQUIRE+POS+AOR^DB+ADJ+ZERO
sıskalanır sıska+ADJ^DB+VERB+ACQUIRE+POS+AOR^DB+ADJ+ZERO
sıskalanan sıska+ADJ^DB+VERB+ACQUIRE+POS^DB+ADJ+PRESPART
sıskayaydı sıska+ADJ^DB+NOUN+ZERO+A3SG+PNON+DAT^DB+VERB+ZERO+PAST+A3SG
sıskayaysa sıska+ADJ^DB+NOUN+ZERO+A3SG+PNON+DAT^DB+VERB+ZERO+COND+A3SG
sıskayadır sıska+ADJ^DB+NOUN+ZERO+A3SG+PNON+DAT^DB+VERB+ZERO+PRES+COP+A3SG
sıskadaydı sıska+ADJ^DB+NOUN+ZERO+A3SG+PNON+LOC^DB+VERB+ZERO+PAST+A3SG
sıskadaysa sıska+ADJ^DB+NOUN+ZERO+A3SG+PNON+LOC^DB+VERB+ZERO+COND+A3SG
sıskadadır sıska+ADJ^DB+NOUN+ZERO+A3SG+PNON+LOC^DB+VERB+ZERO+PRES+COP+A3SG
sıskadandı sıska+ADJ^DB+NOUN+ZERO+A3SG+PNON+ABL^DB+VERB+ZERO+PAST+A3SG
sıskadansa sıska+ADJ^DB+NOUN+ZERO+A3SG+PNON+ABL^DB+VERB+ZERO+COND+A3SG
sıskanındı sıska+ADJ^DB+NOUN+ZERO+A3SG+PNON+GEN^DB+VERB+ZERO+PAST+A3SG
sıskanınsa sıska+ADJ^DB+NOUN+ZERO+A3SG+PNON+GEN^DB+VERB+ZERO+COND+A3SG
sıskamdı sıska+ADJ^DB+NOUN+ZERO+A3SG+P1SG+NOM^DB+VERB+ZERO+PAST+A3SG
sıskamdım sıska+ADJ^DB+NOUN+ZERO+A3SG+P1SG+NOM^DB+VERB+ZERO+PAST+A1SG
sıskamdın sıska+ADJ^DB+NOUN+ZERO+A3SG+P1SG+NOM^DB+VERB+ZERO+PAST+A2SG
sıskamdık sıska+ADJ^DB+NOUN+ZERO+A3SG+P1SG+NOM^DB+VERB+ZERO+PAST+A1PL
sıskamsa sıska+ADJ^DB+NOUN+ZERO+A3SG+P1SG+NOM^DB+VERB+ZERO+COND+A3SG
sıskamsam sıska+ADJ^DB+NOUN+ZERO+A3SG+P1SG+NOM^DB+VERB+ZERO+COND+A1SG
sıskamsan sıska+ADJ^DB+NOUN+ZERO+A3SG+P1SG+NOM^DB+VERB+ZERO+COND+A2SG
sıskamsak sıska+ADJ^DB+NOUN+ZERO+A3SG+P1SG+NOM^DB+VERB+ZERO+COND+A1PL
sıskamdır sıska+ADJ^DB+NOUN+ZERO+A3SG+P1SG+NOM^DB+VERB+ZERO+PRES+COP+A3SG
sıskamaydı sıska+ADJ^DB+NOUN+ZERO+A3SG+P1SG+DAT^DB+VERB+ZERO+PAST+A3SG
sıskamaysa sıska+ADJ^DB+NOUN+ZERO+A3SG+P1SG+DAT^DB+VERB+ZERO+COND+A3SG
sıskamadır sıska+ADJ^DB+NOUN+ZERO+A3SG+P1SG+DAT^DB+VERB+ZERO+PRES+COP+A3SG
sıskamındı sıska+ADJ^DB+NOUN+ZERO+A3SG+P1SG+GEN^DB+VERB+ZERO+PAST+A3SG
sıskamınsa sıska+ADJ^DB+NOUN+ZERO+A3SG+P1SG+GEN^DB+VERB+ZERO+COND+A3SG
sıskandı sıska+ADJ^DB+NOUN+ZERO+A3SG+P2SG+NOM^DB+VERB+ZERO+PAST+A3SG
sıskandım sıska+ADJ^DB+NOUN+ZERO+A3SG+P2SG+NOM^DB+VERB+ZERO+PAST+A1SG
sıskandın sıska+ADJ^DB+NOUN+ZERO+A3SG+P2SG+NOM^DB+VERB+ZERO+PAST+A2SG
sıskandık sıska+ADJ^DB+NOUN+ZERO+A3SG+P2SG+NOM^DB+VERB+ZERO+PAST+A1PL
sıskansa sıska+ADJ^DB+NOUN+ZERO+A3SG+P2SG+NOM^DB+VERB+ZERO+COND+A3SG
sıskansam sıska+ADJ^DB+NOUN+ZERO+A3SG+P2SG+NOM^DB+VERB+ZERO+COND+A1SG
sıskansan sıska+ADJ^DB+NOUN+ZERO+A3SG+P2SG+NOM^DB+VERB+ZERO+COND+A2SG
sıskansak sıska+ADJ^DB+NOUN+ZERO+A3SG+P2SG+NOM^DB+VERB+ZERO+COND+A1PL
sıskandır sıska+ADJ^DB+NOUN+ZERO+A3SG+P2SG+NOM^DB+VERB+ZERO+PRES+COP+A3SG
sıskanaydı sıska+ADJ^DB+NOUN+ZERO+A3SG+P2SG+DAT^DB+VERB+ZERO+PAST+A3SG
sıskanaysa sıska+ADJ^DB+NOUN+ZERO+A3SG+P2SG+DAT^DB+VERB+ZERO+COND+A3SG
sıskanadır sıska+ADJ^DB+NOUN+ZERO+A3SG+P2SG+DAT^DB+VERB+ZERO+PRES+COP+A3SG
sıskanındı sıska+ADJ^DB+NOUN+ZERO+A3SG+P2SG+GEN^DB+VERB+ZERO+PAST+A3SG
sıskanınsa sıska+ADJ^DB+NOUN+ZERO+A3SG+P2SG+GEN^DB+VERB+ZERO+COND+A3SG
sıskamızdı sıska+ADJ^DB+NOUN+ZERO+A3SG+P1PL+NOM^DB+VERB+ZERO+PAST+A3SG
sıskamızsa sıska+ADJ^DB+NOUN+ZERO+A3SG+P1PL+NOM^DB+VERB+ZERO+COND+A3SG
sıskanızdı sıska+ADJ^DB+NOUN+ZERO+A3SG+P2PL+NOM^DB+VERB+ZERO+PAST+A3SG
sıskanızsa sıska+ADJ^DB+NOUN+ZERO+A3SG+P2PL+NOM^DB+VERB+ZERO+COND+A3SG
sıskasıydı sıska+ADJ^DB+NOUN+ZERO+A3SG+P3SG+NOM^DB+VERB+ZERO+PAST+A3SG
sıskasıysa sıska+ADJ^DB+NOUN+ZERO+A3SG+P3SG+NOM^DB+VERB+ZERO+COND+A3SG
sıskasıdır sıska+ADJ^DB+NOUN+ZERO+A3SG+P3SG+NOM^DB+VERB+ZERO+PRES+COP+A3SG
sıskalardı sıska+ADJ^DB+NOUN+ZERO+A3PL+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
sıskalarsa sıska+ADJ^DB+NOUN+ZERO+A3PL+PNON+NOM^DB+VERB+ZERO+COND+A3SG
sıskacıcık sıska+ADJ^DB+NOUN+AGT+A3SG+PNON+NOM^DB+NOUN+DIM+A3SG+PNON+NOM
sıskacıydı sıska+ADJ^DB+NOUN+AGT+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
sıskacıysa sıska+ADJ^DB+NOUN+AGT+A3SG+PNON+NOM^DB+VERB+ZERO+COND+A3SG
sıskacıdır sıska+ADJ^DB+NOUN+AGT+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+COP+A3SG
sıskacımdı sıska+ADJ^DB+NOUN+AGT+A3SG+P1SG+NOM^DB+VERB+ZERO+PAST+A3SG
sıskacımsa sıska+ADJ^DB+NOUN+AGT+A3SG+P1SG+NOM^DB+VERB+ZERO+COND+A3SG
sıskacındı sıska+ADJ^DB+NOUN+AGT+A3SG+P2SG+NOM^DB+VERB+ZERO+PAST+A3SG
sıskacınsa sıska+ADJ^DB+NOUN+AGT+A3SG+P2SG+NOM^DB+VERB+ZERO+COND+A3SG
sıskalıktı sıska+ADJ^DB+NOUN+NESS+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
sıskalıksa sıska+ADJ^DB+NOUN+NESS+A3SG+PNON+NOM^DB+VERB+ZERO+COND+A3SG
sıskası sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM
